spec_id,name,attribute,type,parent_skill,gate,description
rockminning,RockMinning,STR,Support,Minning,Skill 10,the skill to mine rocks and other hard ore type substances
deep_slumber,Deep Slumber,STR,Support,Rest,Skill 10,the skill to protect your rest quality against disturbances while ensuring a greater recovery
symboloftruth_ii,SymbolOfTruth II,CHA,Core,Faith,Skill 10,the divine discipline of the Symbol of Truth
scalesoftruth,ScalesOfTruth,CHA,Core,Faith,Skill 10,the use of the symbol of truth divine icon and its power to forcefully showcase the truth
holylight_ii,HolyLight II,CHA,Core,Faith,Skill 10,the divine discipline of the Holy Light
armoroflight,ArmorOfLight,CHA,Core,Faith,Skill 10,the use of the holy light icon and its power to increase the vitality of the user
sacreddarkness_ii,SacredDarkness II,CHA,Core,Faith,Skill 10,the divine discipline of the Sacred darkness
fogofdarkness,FogOfDarkness,CHA,Core,Faith,Skill 10,the use of the sacred darkness icon and its power to create a magical fog that hides all forms
agriculture,Agriculture,WIL,Support,Farming,Skill 10,the skill to tend the land with cultivate multiple types of crops and tend to the fields
ranching,Ranching,WIL,Support,Farming,Skill 10,"the skill to tend ranch animals such as cows, goats, and others with knowledge to tend to them"
treatment,Treatment,WIL,Support,Healing,Skill 10,the skill to tend to a patient over a long period of time while caring for physical injuries
combatmedic,CombatMedic,WIL,Support,Healing,Skill 10,the skill to tend to injuried combat personeel in the battlefield while doing bare minimal first aid
prayer,Prayer,WIL,Core,Piety,Skill 10,the skill call upon the blessings of heaven by praying with a very small chance to bring positiveness
zeal,Zeal,WIL,Core,Piety,Skill 10,the skill to deliver oneself to the divine and protect your spirit and mind by embracing faith
piety_ii,Piety II,WIL,Core,Piety,Skill 10,The main proficiency for attuning oneself with divine power and commune with it
still_mind_ii,Still Mind II,WIL,Core,"Still Mind, Focus",Skill 10,the skill to keep calm forcefully and strenghten your lucidity even in extreme combat circumstances
combat_mind,Combat Mind,WIL,Core,"Still Mind, Focus",Skill 10,the skill to enhace combat senses and allow the user to enter a high pace mental state increasing
caravaneer,Caravaneer,WIL,Support,Wayfarer,Skill 10,a skill focused on guiding and leading a number of people safely
pathfinder,Pathfinder,WIL,Support,Wayfarer,Skill 10,a skill focused on finding lost paths in treacherous roads
