id,name,subject,subject_suggested,family,family_suggested,tier,bonus_category,bonus_type,text,boundary,counterweight,enhanced_threshold,enhanced_text,confidence
perk_leading_the_audience,Leading the Audience,resistance_mental,acting_circus_entertainer_effect,PERMISSION,,ENTRY,,,"You can lead the public attention, fervor and even hate toward someone, this a temporal state which may redirect hostility or goodwill towards a target person. However, the audience must be able to clearly see the target, and if the roll is contested aganist the target reputation and charisma, where a higher charisma is easier to receive the lead",,,,,HIGH
perk_karmic_balance,Karmic Balance,piety_roll,piety_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Impartial Balance,,,,,LOW
perk_blessed,Blessed,piety_roll,piety_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Inner Light,,,,,LOW
perk_karmic_piety,Karmic Piety,piety_roll,piety_effect,,,ENTRY,,,Personal Rule,,,,,LOW
perk_zeal,Zeal,piety_roll,piety_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Conviction -,,,,,LOW
perk_other_faces,Other Faces,craft_quality,acting_theatre_comedy_etc_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,increases quality and detail of disguises. Add +5 to disguise base score,,,,,HIGH
perk_compelling_acting,Compelling Acting,social_deception,acting_theatre_comedy_etc_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,TRAINING,"your acting perfomance is capable of moving the hearts of people, its tear jerker or vivid. Increases the believability of your acting on the public, it increases effect depending on play",,,,,HIGH
perk_persona,Persona,craft_quality,acting_theatre_comedy_etc_effect,PERMISSION,,ENTRY,,,"after work and study, you can craft a pseudo personality which can be weared like a mask, it last for a full week since creation, and allows the user to weak different alignements and even data.",,,,,HIGH
perk_stone_fisted,Stone Fisted,damage,brawling_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,increase bare hande damage,,,,,HIGH
perk_slam_down,Slam Down!,brawling_roll,brawling_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,you attacks have a probability of knocking down an enemy,,,,,LOW
perk_circular_force,Circular Force,brawling_roll,grappling_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,"you are adept at throws and projections, reduce dificulty when using a throw",,,,,MED
perk_quick_recover,Quick Recover,brawling_roll,grappling_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Quick Recover -,,,,,LOW
perk_ground_fight,Ground Fight,brawling_roll,grappling_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TERRAIN,"you are adept at fighting while laying or siting in the ground, reduce penalty while peforming grapling in the ground",,,,,MED
perk_cook,Cook,cooking_roll,cooking_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_exotic_gourmet,Exotic Gourmet,resistance_mental,cooking_effect,COVERAGE,FLAT_BONUS,ENTRY,,,obtain extra bonus from foodstuff. Some poweful monster cooking will endow with temporary passive perks,,,,,HIGH
perk_supernatural_cuisine,Supernatural Cuisine,cooking_roll,cooking_effect,,,ENTRY,,,"the world is full of supernatural and mystical ingredients you have learned the basis of working with [IRON] ranked ingredients, this does not protect the cook or the eater from the ingredient effect, it only ensures that the cook can use the ingredient correctly. its possible to work with [BRONZE] ingredients provided that you posess the recipe",,,,,LOW
perk_calm_will,Calm Will,resistance_mental,still_mind_focus_effect,,,ENTRY,,,Still Mind,,,,,LOW
perk_inner_balance,Inner Balance,still_mind_focus_roll,still_mind_focus_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,,,,,,LOW
perk_heavenbound,Heavenbound,still_mind_focus_roll,still_mind_focus_effect,,,ENTRY,,,Heavenbound -,,,,,LOW
perk_rancher,Rancher,farming_roll,farming_animal_husbandry_effect,THRESHOLD,,ENTRY,ABILITY,EQUIPMENT,Reduce time used when dealing with cattle,,,,,MED
perk_cattle_care,Cattle Care,farming_roll,farming_animal_husbandry_effect,FLAT_BONUS,,ENTRY,ABILITY,EQUIPMENT,your care has incresed effects on the cattle,,,,,LOW
perk_expert_herder,Expert Herder,farming_roll,farming_animal_husbandry_effect,COVERAGE,,ENTRY,,,you can obtain more produce from animals,,,,,MED
perk_champion_cattle,Champion Cattle,farming_roll,farming_animal_husbandry_effect,PERMISSION,,ENTRY,,,"you can architect and direct the care of a cattle in order to empower it, the produce from such cattle becomes much better",,,,,MED
perk_enemy_sonar,Enemy Sonar,alert_roll,alert_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Increases Area,,,,,LOW
perk_threat_reading,Threat Reading,information_gain,alert_effect,COVERAGE,,ENTRY,,,reads info from threat,,,,,LOW
perk_eyes_in_the_back,Eyes in the Back,alert_roll,alert_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Penalties Ambrush,,,,,LOW
perk_field_worker,Field Worker,endurance,farming_plant_crops_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,NATURAL,Reduce fatigue percived by Farming,,,,,HIGH
perk_enrich_soil,Enrich Soil,craft_quality,farming_plant_crops_effect,PERMISSION,,ENTRY,,,"you can enhace the local soil using different means, mainly fertilizers. You can craft fertilizer and use simple means to enrich it",,,,,HIGH
perk_expert_tiller,Expert Tiller,farming_roll,farming_plant_crops_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,"you can perform farming duties in less time than it would normally, reduce a % of the time invested",,,,,MED
perk_quality_crops,Quality Crops,craft_quality,farming_plant_crops_effect,FLAT_BONUS,,ENTRY,ABILITY,EQUIPMENT,Increses the base quality of crops,,,,,LOW
perk_sprinter,Sprinter,movement_speed,athletism_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Movement Rate -,,,,,MED
perk_vaulter,Vaulter,athletism_roll,athletism_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Jump Distance Up,,,,,LOW
perk_free_running,Free Running,defense,athletism_effect,PERMISSION,RELIABILITY,ENTRY,,,While running or joggling you can dodge partial obstacles automatically,,,,,HIGH
perk_artisan_food,Artisan Food,farming_roll,farming_artisan_goods_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,"offer a correction value on creating a single item of artisan foods stuff category such as beer, winemaking, honey and other produce",,,,,LOW
perk_food_worker,Food Worker,farming_roll,farming_artisan_goods_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_quality_craft,Quality Craft,craft_quality,farming_artisan_goods_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Increases quality of produced foodstuff,,,,,HIGH
perk_aging,Aging,profit,farming_artisan_goods_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,TRAINING,A process where food becomes more expensive and rare as time goes on. Increases rarity and price of produce,,,,,HIGH
perk_power_nap,Power Nap,rest_roll,rest_effect,PERMISSION,,ENTRY,,,"you can rest and recover miraculously in a very short amount of time, reduce resting from a whole night to a few hours.",,,,,MED
perk_deep_sleep,Deep Sleep,rest_roll,rest_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TRAINING,"you can enter a deeper sleep, which recovers a lot more and ignores events with a defensive value for the sleep status",,,,,MED
perk_rest_kneading,Rest Kneading,information_gain,rest_effect,PERMISSION,,ENTRY,,,you can apply your knowledge of resting to others to provide a higher quality of rest,,,,,HIGH
perk_animal_magnetism,Animal Magnetism,animal_empathy_roll,animal_empathy_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_animal_understanding,Animal Understanding,animal_empathy_roll,animal_empathy_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,"your comunication with animals is upgraded, they can follow simple instructions",,,,,LOW
perk_feroucious_loyalty,Feroucious Loyalty,initiative,animal_empathy_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,"your animal companions will be boosted when defending you, they will also take the initiative to protect you",,,,,HIGH
perk_shepherd,Shepherd,animal_empathy_roll,animal_empathy_effect,PERMISSION,,ENTRY,,,you can affect a wide group of animals,,,,,MED
perk_bowman,Bowman,projectile_weapons_handling_roll,projectile_weapons_handling_effect,PERMISSION,PERMISSION,ENTRY,,,"Projectile Proficiency - Apertura de Maestria de ARMAS (o) Añade 20 pts de maestria de armas a una pre-existente solo aplicable a armas que usan el atributo AGI , solo un tipo de Arma es elegido. Ej: Hachas, Martillos, Espadas, etc",,,,,MED
perk_run_gun,Run & Gun,projectile_weapons_handling_roll,projectile_weapons_handling_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,"* Walk and Shot, Penalty Reduction",,,,,MED
perk_ranger,Ranger,projectile_weapons_handling_roll,projectile_weapons_handling_effect,,,ENTRY,,,Shot and Take Cover -,,,,,LOW
perk_long_range,Long Range,projectile_weapons_handling_roll,projectile_weapons_handling_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Long Range Shoot - Increases Range,,,,,MED
perk_bookworm,Bookworm,knowledge_specific_roll,knowledge_specific_effect,COVERAGE,,ENTRY,,,Literary Comprehencion,,,,,LOW
perk_learned,Learned,knowledge_specific_roll,knowledge_specific_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_researcher,Researcher,information_gain,knowledge_specific_effect,COVERAGE,,ENTRY,,,when researching you obtain more info,,,,,HIGH
perk_eidetic_memory,Eidetic Memory,knowledge_specific_roll,knowledge_specific_effect,COVERAGE,,ENTRY,,,Heightened Retention,,,,,LOW
perk_natural_circle,Natural Circle,nature_focus_roll,nature_focus_effect,COVERAGE,,ENTRY,,,"you have a speciality terrain enviroment, when dealing with this terrain you get a free raise on any skill interacting with the enviroment.",,,,,LOW
perk_green_purity,Green Purity,nature_focus_roll,nature_focus_effect,FLAT_BONUS,,ENTRY,ABILITY,NATURAL,you are endowed with natural's blessings and your body is stronger aganist external ills such as poison and other forms of natural hazzards.,,,,,LOW
perk_spirit_guide,Spirit Guide,summon_power,nature_focus_effect,PERMISSION,PERMISSION,ENTRY,,,"you may attract a spirit guide, a spirit animal capable of guidance",,,,,HIGH
perk_natural_harmony,Natural Harmony,initiative,nature_focus_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,MORALE,"as long as you keep calm and composed, you can blend in natural enviroments, animals will consider you less of a threat and some predators will simply ignore you. This skill brings bonus when you are within natural enviroments, in game terms animals and some monsters will have a bonus ""reaction adjustement"" toward the user, in some extreme cases animals might even attack those who hold ill will towards the user",,,,,HIGH
perk_eye_to_detail,Eye to Detail,information_gain,investigation_effect,COVERAGE,,ENTRY,,,Obtain more information from a single clue,,,,,HIGH
perk_inspector,Inspector,investigation_roll,investigation_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_reveal_secret,Reveal Secret,stealth,investigation_effect,COVERAGE,,ENTRY,,,"you have a higher chance to find hidden doors, comparments, or simple clues",,,,,HIGH
perk_master_of_details,Master of Details,resistance_mental,investigation_effect,COVERAGE,,ENTRY,,,"deduce details others overlooked. When close some details will be highlighted for the player. The player must examine details closely for them to be highlighted, otherwise, they will be overlooked. This feat grants a lot of information, an much of this can be useless for a investigation case, so its up to the player to use it. For example: a murder was made by a left handed criminal, however this is invisible unless the player examines the inury directly to obtain more details",,,,,HIGH
perk_wild_catch,Wild Catch,farming_roll,taming_effect,,,ENTRY,,,"you are adept at catching wild animals or monsters, it lowers the requieriments needed for a tame",,,,,LOW
perk_tame_specialist,Tame Specialist,farming_roll,taming_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,MAGIC,you have a bonus toward a single type of creature when dealing in control and management.,,,,,MED
perk_growth_correction,Growth Correction,resistance_mental,taming_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"each level and growth phase one of your tamed creatures obtain, will add a small bonus to the creature gains, the total gains is about 20%",,,,,HIGH
perk_multi_cultural,Multi Cultural,linguistics_roll,linguistics_effect,COVERAGE,,ENTRY,,,Translator,,,,,LOW
perk_cipher,Cipher,linguistics_roll,linguistics_effect,COVERAGE,,ENTRY,,,Encode or Decode,,,,,LOW
perk_ancient_culture,Ancient Culture,linguistics_roll,linguistics_effect,COVERAGE,,ENTRY,,,Ancient Language,,,,,LOW
perk_cultural_assimilation,Cultural Assimilation,movement_speed,linguistics_effect,COVERAGE,,ENTRY,,,Obtain New Languages FAST,,,,,LOW
perk_hidden_traps,Hidden Traps,stealth,trapper_effect,,,ENTRY,,,"Trap obtain hide propiety when aplicable. Roll Trapper skill again to check the level of ""hide"", it must be in a place who offers some manner of cover",,,,,LOW
perk_trap_sence,Trap-Sence,trapper_roll,trapper_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Dismantle Trap -,,,,,MED
perk_trap_maker,Trap-Maker,trapper_roll,trapper_effect,PERMISSION,,ENTRY,,,Assamble improvised traps,,,,,LOW
perk_green_thumb,Green Thumb,herbalism_roll,herbalism_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_horticulture_101,Horticulture 101,herbalism_roll,herbalism_effect,COVERAGE,,ENTRY,,,Obtain more resources from a single instance,,,,,MED
perk_verdant_folklore,Verdant Folklore,information_gain,herbalism_effect,COVERAGE,,ENTRY,,,Special information,,,,,LOW
perk_gathering_zone,Gathering Zone,herbalism_roll,herbalism_effect,COVERAGE,,ENTRY,,,Find Resources in area,,,,,LOW
perk_keen_hearing,Keen Hearing,heightened_senses_roll,heightened_senses_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Sense: Ear,,,,,LOW
perk_butcher,Butcher,dismantle_roll,dismantle_effect,COVERAGE,,ENTRY,,,obtain more booty,,,,,LOW
perk_harvester,Harvester,dismantle_roll,dismantle_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_old_way_gourmet,Old Way Gourmet,craft_quality,dismantle_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,obtain quality booty,,,,,LOW
perk_targetting,Targetting,tracking_roll,tracking_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_hunter_vision,Hunter Vision,tracking_roll,tracking_effect,COVERAGE,,ENTRY,,,virtual mark on target,,,,,LOW
perk_old_way_reading,Old Way Reading,information_gain,tracking_effect,COVERAGE,,ENTRY,,,obtain more info from tracks and trails,,,,,HIGH
perk_long_range_tracking,Long Range Tracking,tracking_roll,tracking_effect,COVERAGE,,ENTRY,,,keep trailing for a long tme,,,,,LOW
perk_the_ancient_ways,The Ancient Ways,formal_magics_roll,formal_magics_effect,COVERAGE,,ENTRY,,,Common Symbology,,,,,LOW
perk_occult_fan,Occult Fan,formal_magics_roll,formal_magics_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_ritualist,Ritualist,formal_magics_roll,formal_magics_effect,PERMISSION,,ENTRY,,,"Enable use of Rituals, add Formal magic score to ritual performance",,,,,LOW
perk_witchcraft,Witchcraft,craft_quality,formal_magics_effect,PERMISSION,,ENTRY,,,Acquiere one type of Witchcraft,,,,,LOW
perk_easy_mapping,Easy-Mapping,social_deception,dungeoneer_effect,PERMISSION,,ENTRY,,,"as long as you dont perform actions which requiere all of your focus, you can perform mapping actions while moving or performing other actions, give that you keep your hands busy and have the correct supplies",,,,,HIGH
perk_treasure_hunter,Treasure Hunter,dungeoneer_roll,dungeoneer_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"you now how to get the most out of a dungeon exploration, you increase the loot from the dungeon. In any roll between traps or rewards mechanism you get a second roll",,,,,MED
perk_labyrinth_breaker,Labyrinth Breaker,dungeoneer_roll,dungeoneer_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,NATURAL,"you never get lost in a labyrinth or any maze, you have a extra +5 when dealing with physical mazes and other confusing architecture,",,,,,MED
perk_eye_for_magic,Eye for Magic,casting_speed,spellcraft_effect,PERMISSION,,ENTRY,,,Free spellcaft action on a round where you are casting a spell,,,,,LOW
perk_magic_analyst,Magic Analyst,information_gain,spellcraft_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,MAGIC,Skill Bonus -,,,,,LOW
perk_counterspell,CounterSpell,casting_speed,spellcraft_effect,PERMISSION,,ENTRY,,,Spellcasting as a Defensive Action -,,,,,LOW
perk_spell_hacker,Spell Hacker,spell_effect,spellcraft_effect,THRESHOLD,,ENTRY,ABILITY,MAGIC,reduce dificulty to interfere with spells,,,,,HIGH
perk_star_compass,Star Compass,astrology_roll,astrology_effect,COVERAGE,,ENTRY,,,More Accurate & Longer Guidance Duration -,,,,,LOW
perk_star_reader,Star Reader,astrology_roll,astrology_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus -,,,,,LOW
perk_fate_reading,Fate Reading,information_gain,astrology_effect,COVERAGE,,ENTRY,,,obtain personal info on FATE,,,,,LOW
perk_omens,Omens,astrology_roll,astrology_effect,COVERAGE,,ENTRY,,,offer guidance to luck,,,,,LOW
perk_traveler,Traveler,endurance,wayfarer_effect,THRESHOLD,,ENTRY,ABILITY,TERRAIN,Travel Fatigue Reduction -,,,,,LOW
perk_long_walker,Long Walker,wayfarer_roll,wayfarer_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill bonus -,,,,,LOW
perk_pathguide,PathGuide,wayfarer_roll,wayfarer_effect,THRESHOLD,,ENTRY,ABILITY,TERRAIN,Travel reduces bad encounters and raises good encounters,,,,,LOW
perk_thousand_steps,Thousand Steps,wayfarer_roll,wayfarer_effect,THRESHOLD,,ENTRY,ABILITY,TERRAIN,Reduce Travel Time,,,,,LOW
perk_familiar_mount,Familiar Mount,summon_power,riding_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Specific Earth or Sea mount bonus stability. No need to Roll each time they perform a combat action,,,,,HIGH
perk_experienced_rider,Experienced Rider,riding_roll,riding_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill bonus -,,,,,LOW
perk_one_hand_riding,One Hand Riding,riding_roll,riding_effect,PERMISSION,,ENTRY,,,May perform common actions while riding,,,,,LOW
perk_mount_aptitude,Mount Aptitude,craft_quality,riding_effect,COVERAGE,COVERAGE,ENTRY,,,"Mount Awakens a Unique Passive Feat, every mount has different feats, the quality of the mount insides on the rank of the feat",,,,,HIGH
perk_strong_back,Strong Back,str_burden,,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Weight Carry,,,,,LOW
perk_inner_strenght,Inner Strenght,str_burden,,THRESHOLD,THRESHOLD,ENTRY,ABILITY,NATURAL,Reduce Fatigue Penalty,,,,,MED
perk_popular_trends,Popular Trends,social_influence,common_lore_effect,PERMISSION,,ENTRY,,,"in any country of your culture, you can easily obtain lore about local authorities and hidden authorities, stuff like who is who and most of the common taboos. This is a information gathering perk where you can easily obtain local info or detect anomalies within a locality. This does not work outside your culture zone of influence or in cities with mixed cultures",,,,,HIGH
perk_common_sense,Common Sense,resistance_mental,common_lore_effect,PERMISSION,PERMISSION,ENTRY,,,"Allows you to correctly gasp how people will react to certain actions, and specific reputation gained from such. Its easy to win a communit friendship if you know how to gain it.",,,,,HIGH
perk_popular_folklore,Popular Folklore,information_gain,common_lore_effect,COVERAGE,FLAT_BONUS,ENTRY,,,obtain extra info on any historical or mythical question regarding a specific zone within your country. This includes rites and special local ettiquetes if any. This does not provide etiquete but rather gives an insight on such,,,,,HIGH
perk_old_wisdom,Old Wisdom,resistance_mental,common_lore_effect,PERMISSION,COVERAGE,ENTRY,,,"the old ways had manners to deal with almost everything, you can tap on ancient hints once per session per each 200 pts of will power +1",,,,,HIGH
perk_unrestrained,Unrestrained,str_arm_strenght,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"you are hard to capture and hard to bind, any penalty by restriction is reduced. And escape attempts get a bonus",,,,,HIGH
perk_hand_cannon,Hand Cannon,str_arm_strenght,,PERMISSION,,ENTRY,,,"you can throw, Really farther and stronger the your average person, anything thrown with your ""Bare Hands"" counts for this",,,,,HIGH
perk_iron_bender,Iron Bender,str_arm_strenght,,THRESHOLD,FLAT_BONUS,ENTRY,ABILITY,EQUIPMENT,reduce the material resistance of up to iron and lesser materials (meaning that materials above iron are not affected),,,,,HIGH
perk_great_fortitude,Great Fortitude,str_muscle,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,NATURAL,you have Great Fortitude bonus on any defensive roll where your physical prowess is tested,,,,,HIGH
perk_rubbery_muscles,Rubbery Muscles,str_muscle,,THRESHOLD,,ENTRY,ABILITY,NATURAL,"you have great muscles, they feel like leather or rubber. Only when defending you get a natural damage reduction",,,,,LOW
perk_coordination,Coordination,agi_coordination,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Chew gum and walk - Bonus when performing simultaneous actions,,,,,HIGH
perk_heightened_balance,Heightened Balance,agi_coordination,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Stability -,,,,,LOW
perk_ambidiextry,Ambidiextry,agi_coordination,,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TRAINING,reduce penalty when using both hands,,,,,HIGH
perk_adrenaline,Adrenaline,agi_reaction,,THRESHOLD,,ENTRY,ABILITY,NATURAL,when you a natural 10 in a initiative roll or when you are in less than 10% of your HP. you get second movement phase for half you alloted melee movement,,,,,LOW
perk_heightened_reflex,Heightened Reflex,agi_reaction,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,you have High reflexes bonus on any defensive roll where your reaction is tested,,,,,HIGH
perk_travel_light,Travel Light,agi_movement,,FLAT_BONUS,,ENTRY,ABILITY,TERRAIN,"si usas armadura ligera o ninguna armadura y no estas cargado mas del 50% de tu peso maximo, tu indice de movimiento aumenta en 3 pts",,,,,LOW
perk_manouverability,Manouverability,agi_movement,,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TRAINING,"reduce penalty when twisting, turning and changing your movements",,,,,HIGH
perk_tunnel_serpent,Tunnel Serpent,agi_movement,,THRESHOLD,,ENTRY,ABILITY,TRAINING,Eres considerado un tamaño menos para efecto de moverte por tuneles o rendijas,,,,,LOW
perk_self_diagnose,Self-Diagnose,per_judgement,,PERMISSION,,ENTRY,,,"you have an acurate grasp of your own body and state, you can evaluate your own condition",,,,,HIGH
perk_anatomy_101,Anatomy 101,per_judgement,,COVERAGE,,ENTRY,,,you receive more info about your opponents health and physical condition in combat or high tension instances,,,,,HIGH
perk_death_sense,Death Sense,per_judgement,,COVERAGE,,ENTRY,,,you have a knack for finding threats and avoid dangerous paths.,,,,,LOW
perk_low_light_vision,Low-Light Vision,per_senses,,PERMISSION,,ENTRY,,,"you can see better in darkness, remove some of the penalty. It does not affect total darkness or enviromental obstructions such as mist",,,,,HIGH
perk_pitch,Pitch,per_senses,,PERMISSION,,ENTRY,,,"you have a uncanny ear for sounds, you can memorize and identify sounds easily. You can retain one sound per session",,,,,HIGH
perk_blind_fighting,Blind Fighting,per_senses,,,,ENTRY,,,,,,,,LOW
perk_idea,Idea,int_inspiration,,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Lightbulb,,,,,LOW
perk_calculus,Calculus,int_inspiration,,THRESHOLD,,ENTRY,ABILITY,TRAINING,perform calculations instantly,,,,,LOW
perk_sharp_mind,Sharp Mind,per_judgement,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"Cynical, recibes un bono de +5 contra tiradas que impliquen engaños y confusion",,,,,HIGH
perk_scrounger,Scrounger,per_judgement,,PERMISSION,,ENTRY,,,"when searching for loot you can find more things, you are really throught in your search!. It also benefits dismantle and other similar events",,,,,HIGH
perk_mental_strenght,Mental Strenght,per_judgement,,,,ENTRY,,,Mental Recovery,,,,,LOW
perk_voracious_reader,Voracious Reader,int_focus,,COVERAGE,,ENTRY,,,"you are a beast to read written material, you cut in half any time dedicated to reading",,,,,LOW
perk_high_focus,High Focus,int_focus,,PERMISSION,,ENTRY,,,"when focused you are not completely out of it, this allows you maintain a higher degree of movility, defense and interactivity than normal people",,,,,HIGH
perk_photo_memory,Photo Memory,int_focus,,PERMISSION,,ENTRY,,,"you can memorize one image per session, the recorded scene its quite clear and when used can ask the DM to retell the scene or ask for more details. When the session ends the memory is lost",,,,,HIGH
perk_strong_soul,Strong Soul,wil_supernatural,,FLAT_BONUS,,ENTRY,ABILITY,MORALE,Strong Soul -,,,,,LOW
perk_power_spot,Power Spot,wil_supernatural,,COVERAGE,,ENTRY,,,Leyline Discovery -,,,,,LOW
perk_mana_rejection,Mana Rejection,wil_supernatural,,THRESHOLD,,ENTRY,ABILITY,MAGIC,"you reject mana by sheer will, reducing magic based damage",,,,,LOW
perk_stoic,Stoic,wil_poise,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"you gain a bonus based on your alignement, this bonus counters actions that go against your alignment. Thus a evil character may resist ""Redeption"" if the player wishes so",,,,,HIGH
perk_impartial_belief,Impartial Belief,wil_poise,,,,ENTRY,,,you try your best to be impartial and not judgemental,,,,,LOW
perk_happy_camper,Happy Camper,wil_fortitude,,THRESHOLD,,ENTRY,ABILITY,TERRAIN,the stress and penalty for living and travelling on a wilderness is reduced,,,,,LOW
perk_pain_tolerance,Pain Tolerance,wil_fortitude,,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TRAINING,"when resisting pain, injury and wound you can reduce the penalty.",,,,,HIGH
perk_iron_will,Iron Will,wil_fortitude,,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"you have an iron will, bonus on any defensive roll where you will is tested",,,,,HIGH
